vuln_id,whitelist,package,version_local,version_local_regex,version_nixpkgs,version_upstream,comment
CVE-2024-13278,True,Diff,1.0.2,,,,Incorrect package: NVD record affects the Drupal Diff module; scanned component is the Haskell Diff package.
CVE-2021-28794,True,ShellCheck,0.11.0,,,,Incorrect package: NVD record affects an unofficial Visual Studio Code ShellCheck extension; scanned component is the ShellCheck CLI.
CVE-2024-9410,True,ada,3.4.4,,,,Incorrect package: NVD record affects the Ada.cx Sentry service component; scanned component is the ada library.
CVE-2018-13162,True,alex,3.5.4.2,,,,Incorrect package: NVD record affects an Ethereum token contract named ALEX; scanned component is the Haskell Alex lexer generator.
CVE-2021-43138,True,async,2.2.6,,,,Incorrect package: NVD record affects the npm async package; scanned component is the Haskell async package.
(CVE-2021-27367|CVE-2022-31321|CVE-2023-5214|CVE-2025-34086),True,bolt,0.9.8,,,,Incorrect package: NVD records affect Bolt CMS or Puppet Bolt; scanned component is the Linux Thunderbolt daemon.
CVE-2019-10010,True,commonmark,0.2.6.1,,,,Incorrect package: NVD record affects PHP League CommonMark; scanned component is the Haskell commonmark package.
CVE-2017-18589,True,cookie,0.5.1,,,,Incorrect package: NVD record affects the Rust cookie crate; scanned component is the Haskell cookie package.
CVE-2018-6553,True,cups,2.4.19,,,,Target mismatch: NVD record is for Ubuntu CUPS AppArmor profile packaging and fixed there before 2.2.7-1ubuntu2.1.
(CVE-2022-42010|CVE-2022-42011|CVE-2022-42012),True,dbus,0.9.10,,,,Incorrect package: scanned component is the Rust dbus crate source and not the D-Bus daemon or libdbus implementation.
(CVE-2022-42010|CVE-2022-42011|CVE-2022-42012),True,dbus,1,,,,Generated config false positive: underlying D-Bus is 1.16.2 which is newer than the NVD fixed ranges for these issues.
CVE-2007-1397,True,fish,4.8.1,,,,Incorrect package: NVD record affects the FiSH IRC encryption plugin and not the fish shell.
CVE-2020-26304,True,foundation,0.0.30,,,,Incorrect package: NVD record affects foundation-sites JavaScript framework; scanned component is the Haskell foundation package.
(CVE-2021-21684|CVE-2022-30947|CVE-2022-36882|CVE-2022-36883|CVE-2022-36884|CVE-2022-38663),True,git,2.55.0,,,,Incorrect package: NVD records affect Jenkins Git Plugin and not the Git CLI.
(CVE-2025-32989|CVE-2025-32990|CVE-2026-1584|CVE-2026-33845|CVE-2026-3832|CVE-2026-3833|CVE-2026-42009|CVE-2026-42010),True,gnutls,3.8.13,,,,Fixed in current source: GnuTLS 3.8.12 or 3.8.13 includes the relevant security fixes and local version is 3.8.13.
CVE-2023-49292,True,go,,,,,Incorrect package: NVD CPE is ecies:go for the ECIES Go library; scanned component is the Go toolchain or bootstrap toolchain.
CVE-2017-5436,True,graphite2,1.3.15,,,,Fixed before this build: upstream Graphite2 fixed the issue before 1.3.10 and local version is 1.3.15.
CVE-2021-4276,True,hedgehog,,1\.5(-r2\.cabal)?,,,Incorrect package: NVD record affects dns-stats hedgehog and not the Haskell Hedgehog testing library.
CVE-2025-3841,True,jam,,2\.6\.1(\.tar)?,,,Incorrect package: NVD record affects wix-incubator jam and not the scanned Jam build tool source.
(CVE-2026-33948|CVE-2026-39979|CVE-2026-44777),True,jq,,1\.8\.2(-binlore)?,,,Fixed in current source: upstream fix commits 6374ae0 and 2f09060 are ancestors of jq-1.8.2 and the module-loader issue only affects through 1.8.2rc1.
(CVE-2022-34176|CVE-2022-45380|CVE-2023-25761),True,junit,,4\.13\.2\.(jar|pom),,,Incorrect package: NVD records affect Jenkins JUnit Plugin and not JUnit 4 artifacts.
CVE-2022-37416,True,libmpeg2,0.5.1,,,,Incorrect package: NVD record affects Ittiam Android libmpeg2 and not the libmpeg2 MPEG decoder package.
(CVE-2025-6021|CVE-2025-6170),True,libxml2,2.15.3,,,,Fixed before this build: NVD affected ranges end before libxml2 2.14.4 or 2.14.5 and local version is 2.15.3.
CVE-2025-10911,True,libxslt,1.1.45,,,,Fixed before this build: NVD affected range ends at libxslt 1.1.43 and local version is 1.1.45.
CVE-2025-7425,True,libxslt,1.1.45,,,,Fixed in current source: Nixpkgs applies the upstream result-value-tree memory-management patch for this libxslt issue.
CVE-2022-26635,True,memcached,1.6.42,,,,Incorrect package: NVD record affects PHP-Memcached and not the memcached server.
CVE-2022-43410,True,mercurial,,7\.2\.2(-vendor|-vendor-staging)?,,,Incorrect package: NVD record affects Jenkins Mercurial Plugin and not Mercurial.
(CVE-2010-4254|CVE-2011-0989|CVE-2011-0990|CVE-2011-0991|CVE-2011-0992),True,mono,6.14.1,,,,Legacy component mismatch: NVD records describe old Moonlight-specific Mono issues and this build does not include Moonlight.
(CVE-2021-35047|CVE-2021-35048|CVE-2021-35049|CVE-2021-35050|CVE-2022-0486|CVE-2022-0997|CVE-2022-24388|CVE-2022-24389|CVE-2022-24390|CVE-2022-24391|CVE-2022-24392|CVE-2022-24393|CVE-2022-24394),True,network,3.2.8.0,,,,Incorrect package: NVD records affect Fidelis Network appliances and not the Haskell network package.
CVE-2021-4336,True,ninja,1.13.2,,,,Incorrect package: NVD record affects ITRS monitor-ninja and not the Ninja build tool.
CVE-2025-47436,True,orc,0.4.42,,,,Incorrect package: NVD record affects Apache ORC and not GNOME ORC.
(CVE-2015-4155|CVE-2015-4156),True,parallel,3.2.2.0,,,,Incorrect package: NVD records affect GNU Parallel and not the Haskell parallel package.
CVE-2024-11586,True,pulseaudio,17.0,,,,Target mismatch: NVD record is for Canonical Ubuntu pulseaudio integration and not upstream Nixpkgs PulseAudio.
CVE-.*,True,python,,2\.7\..*,,,Build-time bootstrap artifact: Python 2.7 derivations are build-closure-only artifacts and absent from the runtime closure scan.
(CVE-2020-1171|CVE-2020-1192|CVE-2020-17163|CVE-2024-49050|CVE-2025-49714),True,python,3.14.4,,,,Incorrect package: NVD records affect the Visual Studio Code Python extension and not CPython.
(CVE-2021-33594|CVE-2021-33595|CVE-2021-33596|CVE-2021-40834|CVE-2021-40835|CVE-2021-44751|CVE-2022-28868|CVE-2022-28869|CVE-2022-28870|CVE-2022-28872|CVE-2022-28873|CVE-2022-38163|CVE-2022-38164|CVE-2022-47524),True,safe,,0\.3\.21(-r1\.cabal)?,,,Incorrect package: NVD records affect F-Secure SAFE browser/mobile products and not the Haskell safe package.
CVE-2000-0006,True,strace,7.1,,,,Legacy NVD record with no current affected range; strace 7.1 is decades newer than the vulnerable implementation.
CVE-2024-21524,True,stringbuilder,0.5.1,,,,Incorrect package: NVD record affects node-stringbuilder and not the Haskell stringbuilder package.
(CVE-2021-21698|CVE-2022-29046|CVE-2022-29048),True,subversion,1.14.5,,,,Incorrect package: NVD records affect Jenkins Subversion Plugin and not Apache Subversion.
CVE-2020-1416,True,typescript,5.9.3,,,,Incorrect package: NVD record affects Visual Studio and Visual Studio Code and not the TypeScript package.
(CVE-2021-27400|CVE-2021-3024|CVE-2021-38554|CVE-2021-41802|CVE-2022-41316|CVE-2023-0620|CVE-2023-0665|CVE-2023-2121|CVE-2023-24999|CVE-2023-25000|CVE-2023-6337|CVE-2024-2048|CVE-2024-8365|CVE-2025-4166|CVE-2025-6011|CVE-2025-6014|CVE-2025-6037),True,vault,0.3.1.6,,,,Incorrect package: NVD records affect HashiCorp Vault and not the Haskell vault package.
CVE-2015-7777,True,void,0.7.4,,,,Incorrect package: NVD record affects JosephErnest Void web app and not the Haskell void package.
(CVE-2022-2145|CVE-2022-2225|CVE-2022-3320|CVE-2022-3512|CVE-2022-4428|CVE-2022-4457|CVE-2023-0238|CVE-2023-0652|CVE-2023-0654|CVE-2023-1412|CVE-2023-1862|CVE-2023-2754|CVE-2025-0651),True,warp,3.4.9,,,,Incorrect package: NVD records affect Cloudflare WARP client and not the Haskell warp web framework.
(CVE-2021-4235|CVE-2022-3064),True,yaml,,0\.11\.11\.2(-r2\.cabal)?,,,Incorrect package: NVD records affect the Go yaml.v2 package and not the Haskell yaml package.
(CVE-2002-0059|CVE-2022-37434|CVE-2023-45853|CVE-2023-6992),True,zlib,0.7.1.1,,,,Incorrect package: scanned component is the Haskell zlib package and NVD records affect C zlib or the Cloudflare zlib fork.
CVE-2023-6992,True,zlib,1.3.2,,,,Incorrect package: NVD record affects the Cloudflare zlib fork and not upstream zlib 1.3.2.
CVE-2024-9410,True,ada,3.4.4,,3.4.4,4.0.0,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2018-13162,True,alex,3.5.4.2,,3.5.4.2,3.5.4.2,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2021-43138,True,async,2.2.6,,2.2.6,2.2.6,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2021-26720,True,avahi,0.8,,0.8,,False positive / version data issue: avahi findings do not map cleanly to the Nixpkgs 0.8 package; current Nixpkgs carries the relevant CVE patches or the issue is distro-specific.
CVE-2025-59529,True,avahi,0.8,,0.8,,False positive / version data issue: avahi findings do not map cleanly to the Nixpkgs 0.8 package; current Nixpkgs carries the relevant CVE patches or the issue is distro-specific.
CVE-2014-6271,True,bash,2.05b,,,,Build-time bootstrap artifact: all current rows for this CVE/package key are bash 2.05b or bash 2.05b-builder derivations in the build closure; runtime bash 5.x is scanned separately.
CVE-2014-6271,True,bash,2.05b-builder,,,,Build-time bootstrap artifact: all current rows for this CVE/package key are bash 2.05b or bash 2.05b-builder derivations in the build closure; runtime bash 5.x is scanned separately.
CVE-2014-7169,True,bash,2.05b,,,,Build-time bootstrap artifact: all current rows for this CVE/package key are bash 2.05b or bash 2.05b-builder derivations in the build closure; runtime bash 5.x is scanned separately.
CVE-2014-7169,True,bash,2.05b-builder,,,,Build-time bootstrap artifact: all current rows for this CVE/package key are bash 2.05b or bash 2.05b-builder derivations in the build closure; runtime bash 5.x is scanned separately.
CVE-2016-7543,True,bash,2.05b,,,,Build-time bootstrap artifact: all current rows for this CVE/package key are bash 2.05b or bash 2.05b-builder derivations in the build closure; runtime bash 5.x is scanned separately.
CVE-2016-7543,True,bash,2.05b-builder,,,,Build-time bootstrap artifact: all current rows for this CVE/package key are bash 2.05b or bash 2.05b-builder derivations in the build closure; runtime bash 5.x is scanned separately.
CVE-2016-9401,True,bash,2.05b,,,,Build-time bootstrap artifact: all current rows for this CVE/package key are bash 2.05b or bash 2.05b-builder derivations in the build closure; runtime bash 5.x is scanned separately.
CVE-2016-9401,True,bash,2.05b-builder,,,,Build-time bootstrap artifact: all current rows for this CVE/package key are bash 2.05b or bash 2.05b-builder derivations in the build closure; runtime bash 5.x is scanned separately.
CVE-2019-18276,True,bash,2.05b,,,,Build-time bootstrap artifact: all current rows for this CVE/package key are bash 2.05b or bash 2.05b-builder derivations in the build closure; runtime bash 5.x is scanned separately.
CVE-2019-18276,True,bash,2.05b-builder,,,,Build-time bootstrap artifact: all current rows for this CVE/package key are bash 2.05b or bash 2.05b-builder derivations in the build closure; runtime bash 5.x is scanned separately.
CVE-2019-9924,True,bash,2.05b,,,,Build-time bootstrap artifact: all current rows for this CVE/package key are bash 2.05b or bash 2.05b-builder derivations in the build closure; runtime bash 5.x is scanned separately.
CVE-2019-9924,True,bash,2.05b-builder,,,,Build-time bootstrap artifact: all current rows for this CVE/package key are bash 2.05b or bash 2.05b-builder derivations in the build closure; runtime bash 5.x is scanned separately.
CVE-2026-10723,True,bind,9.20.24,,9.20.24,9.20.26,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-10822,True,bind,9.20.24,,9.20.24,9.20.26,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-11331,True,bind,9.20.24,,9.20.24,9.20.26,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-11605,True,bind,9.20.24,,9.20.24,9.20.26,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-11622,True,bind,9.20.24,,9.20.24,9.20.26,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-11721,True,bind,9.20.24,,9.20.24,9.20.26,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-12617,True,bind,9.20.24,,9.20.24,9.20.26,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-13204,True,bind,9.20.24,,9.20.24,9.20.26,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-13321,True,bind,9.20.24,,9.20.24,9.20.26,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-3441,True,binutils,2.46,,2.46,2.47,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-3441,True,binutils,2.46.0,,2.46,2.47,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-3442,True,binutils,2.46,,2.46,2.47,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-3442,True,binutils,2.46.0,,2.46,2.47,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-4647,True,binutils,2.46,,2.46,2.47,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-4647,True,binutils,2.46.0,,2.46,2.47,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-6844,True,binutils,2.46,,2.46,2.47,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-6844,True,binutils,2.46.0,,2.46,2.47,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-6845,True,binutils,2.46,,2.46,2.47,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-6845,True,binutils,2.46.0,,2.46,2.47,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2020-24490,True,bluez,5.86,,5.86,5.87,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2015-7309,True,bolt,0.9.8,,0.3.2.0,0.3.2.0,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2017-16754,True,bolt,0.9.8,,0.3.2.0,0.3.2.0,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2019-15483,True,bolt,0.9.8,,0.3.2.0,0.3.2.0,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2019-15484,True,bolt,0.9.8,,0.3.2.0,0.3.2.0,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2019-15485,True,bolt,0.9.8,,0.3.2.0,0.3.2.0,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2019-9185,True,bolt,0.9.8,,0.3.2.0,0.3.2.0,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2020-28925,True,bolt,0.9.8,,0.3.2.0,0.3.2.0,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2020-4040,True,bolt,0.9.8,,0.3.2.0,0.3.2.0,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2020-4041,True,bolt,0.9.8,,0.3.2.0,0.3.2.0,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2021-27367,True,bolt,0.9.8,,0.3.2.0,0.3.2.0,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2022-31321,True,bolt,0.9.8,,0.3.2.0,0.3.2.0,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2023-5214,True,bolt,0.9.8,,0.3.2.0,0.3.2.0,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2025-34086,True,bolt,0.9.8,,0.3.2.0,0.3.2.0,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2009-3654,True,boost,1.88.0,,1.91.0,1.91.0,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2009-3654,True,boost,1.89.0,,1.91.0,1.91.0,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2024-58251,True,busybox,1.37.0,,1.37.0,1.36.1,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-14363,True,cargo,1.96.1,,0.4.9,0.4.9,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-14363,True,cargo,1.97.0,,0.4.9,0.4.9,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-39837,True,cargo,1.96.1,,0.4.9,0.4.9,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-39837,True,cargo,1.97.0,,0.4.9,0.4.9,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-39839,True,cargo,1.96.1,,0.4.9,0.4.9,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-39839,True,cargo,1.97.0,,0.4.9,0.4.9,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-39840,True,cargo,1.96.1,,0.4.9,0.4.9,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-39840,True,cargo,1.97.0,,0.4.9,0.4.9,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-39841,True,cargo,1.96.1,,0.4.9,0.4.9,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-39841,True,cargo,1.97.0,,0.4.9,0.4.9,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-58519,True,cargo,1.96.1,,0.4.9,0.4.9,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-58519,True,cargo,1.97.0,,0.4.9,0.4.9,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-58521,True,cargo,1.96.1,,0.4.9,0.4.9,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-58521,True,cargo,1.97.0,,0.4.9,0.4.9,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2020-11104,True,cereal,0.5.8.3,,0.5.8.3,0.5.8.3,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2020-11105,True,cereal,0.5.8.3,,0.5.8.3,0.5.8.3,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2017-16098,True,charset,0.3.12,,0.3.12,0.3.12,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2019-10010,True,commonmark,0.2.6.1,,0.2.6.1,0.3,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2026-30838,True,commonmark,0.2.6.1,,0.2.6.1,0.3,Incorrect package: CVE affects PHP league/commonmark; scanned derivation is Haskell commonmark 0.2.6.1.
CVE-2024-47554,True,commons-io,2.11.0.jar,,2.22.0,2.22.0,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2024-47554,True,commons-io,2.11.0.pom,,2.22.0,2.22.0,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2017-18589,True,cookie,0.5.1,,0.5.1,0.5.1,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2010-4226,True,cpio,2.15,,2.15,2.15,False positive: issue is specific to OpenSuSE packaging and does not apply to GNU cpio in Nixpkgs.
CVE-2023-7216,True,cpio,2.15,,2.15,2.15,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2018-6553,True,cups,2.4.19,,2.4.19,2.4.19,False positive: scanner triage classified the Nixpkgs package/version as not affected based on Repology/upstream package data.
CVE-2022-26691,True,cups,2.4.19,,2.4.19,2.4.19,Target-specific false positive: CVE is an Apple macOS privilege issue; scanned CUPS component is in an x86_64-linux target.
CVE-2013-1944,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
CVE-2014-3613,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
CVE-2014-3620,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
CVE-2015-3153,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
CVE-2016-0754,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
CVE-2016-0755,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
CVE-2016-4606,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
CVE-2016-4802,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
CVE-2016-8615,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
CVE-2016-8616,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
CVE-2016-8617,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
CVE-2016-8618,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
CVE-2016-8619,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
CVE-2016-8620,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
CVE-2016-8621,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
CVE-2016-8623,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
CVE-2016-8624,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
CVE-2016-8625,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
CVE-2016-9586,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
CVE-2016-9594,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
CVE-2017-2629,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
CVE-2017-9502,True,curl,0.4.49,,,,"Incorrect package: scanned component is the Rust crate curl 0.4.49 in the build closure, not curl/libcurl; actual curl/libcurl derivations are scanned separately as curl 8.x."
